Name,Payment terms,Days of Credit,Credit Limit,BALANCED,link to seller,Intra ,Total Intra per client,Photo,SOLD TO,SHIP TO,Status,Accounting
PETROJAF NAPHTHA,24 Hrs,,$0.00,PETROJAF NAPHTHA,,,$0.00,Petrojaf (1).png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/356wxodml2ePi23CYYyGHQ/7hx9s9PW_0adKRTTmjHHjwcPQxSwNjibzCJ5A-YezMbVt_1S76opU9RAETbDKq9xFm7TpAiYIdqOfTaYUBhHJlZpwClX3cR5iGxxYy36tnhEBw0yiHtjG2SmL9P__EkNcjQ77Cghv9SKLH-vR8istk-PRGr1tU5pz4vxxcIB2kY/wYgR0pljy8fzlG78-2kGa30OBuZ1oQWUCkqvVw99RVQ),,,Active,Unnamed record
NEW MEXXON ,24 Hrs,,$750000.00,NEW MEXXON ,,,$0.00,ORKA_LOGO_enhanced.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/ILqnowrtgrmnx9g2GMc0GQ/YaVO1dzNMTTXco_tx53eNSRL-OxKHWwuLY73wQ87Ojmk4q08FJGWbPsTaEj85EcZc8834rCcFz18i7fO28a8NvwVZnJb-edvOsLgGAFswtQESKyuVOAW6jYQf1Wo1p2duj7PO7m1Rdlb1QB9vVJ4zvR73V5xu3DMB_OboijzbaY/R33hz2mzIrq4cm8us2OSDVpGu9gzmM0oVyuMCnyyLYQ),,,Active,Unnamed record
CAMPER CARROTANQUES,24 Hrs,,$10000.00,CAMPER CARROTANQUES,,,$0.00,Camper (1).png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/psB9z-N9XCFxsgERlIFFbA/BYs-m-LQmB7nDxs2pmW3ps0czSii0qu1qiIqxE_Tg-eYkPcy5VmYDOsxo7lbiqv0UcCHSzy0yIMjHXW1kNiWRbL5kCG0e8b6EthoW4YRR54hrR8kuCn9PNdPhxEwGny-zffzeGTYwyjCnLHWmZ6HtrNrsaV0Zf1HVRLOsu3BYQo/arT-WcqQVDuki8U2pQnwt-Sjef2keJkHJfRik2W0YUQ),,,Active,Unnamed record
REGINA ENERGY,24 Hrs,,$10000.00,REGINA ENERGY,,,$0.00,ORKA_LOGO_enhanced.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/ILqnowrtgrmnx9g2GMc0GQ/YaVO1dzNMTTXco_tx53eNSRL-OxKHWwuLY73wQ87Ojmk4q08FJGWbPsTaEj85EcZc8834rCcFz18i7fO28a8NvwVZnJb-edvOsLgGAFswtQESKyuVOAW6jYQf1Wo1p2duj7PO7m1Rdlb1QB9vVJ4zvR73V5xu3DMB_OboijzbaY/R33hz2mzIrq4cm8us2OSDVpGu9gzmM0oVyuMCnyyLYQ),,,Active,Unnamed record
CAMPER EAGLE,24 Hrs,,$250000.00,CAMPER EAGLE,,,$0.00,Camper Eagle.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/I4JyAKKOOk8LDmldBqJ2jw/v-QdPRyqtqTOlmT6EF8SSKUW6WbbfIOIevrJElAsaAWzQTmV7HnD6YIk_9SqUhjawn_jv3IAp44ALgqTb86fhbEviYaFaOAoiN5iW6cCeN-6-6wxN9zrTaA42ZyPEsgNGyuNrQC57sWbZsM4g_SA80kMLcXQfjgs55awnUkkVmw/cosOIbvvZPb9n5orYpaHR0TXt8FB2bvLEGUTzqibFO8),,,Active,Unnamed record
FEPE,24 Hrs,,$10000.00,FEPE,,,$0.00,ORKA_LOGO_enhanced.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/ILqnowrtgrmnx9g2GMc0GQ/YaVO1dzNMTTXco_tx53eNSRL-OxKHWwuLY73wQ87Ojmk4q08FJGWbPsTaEj85EcZc8834rCcFz18i7fO28a8NvwVZnJb-edvOsLgGAFswtQESKyuVOAW6jYQf1Wo1p2duj7PO7m1Rdlb1QB9vVJ4zvR73V5xu3DMB_OboijzbaY/R33hz2mzIrq4cm8us2OSDVpGu9gzmM0oVyuMCnyyLYQ),,,Active,Unnamed record
VALLEY FUELS,24 Hrs,,$10000.00,VALLEY FUELS,,,$0.00,ORKA_LOGO_enhanced.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/ILqnowrtgrmnx9g2GMc0GQ/YaVO1dzNMTTXco_tx53eNSRL-OxKHWwuLY73wQ87Ojmk4q08FJGWbPsTaEj85EcZc8834rCcFz18i7fO28a8NvwVZnJb-edvOsLgGAFswtQESKyuVOAW6jYQf1Wo1p2duj7PO7m1Rdlb1QB9vVJ4zvR73V5xu3DMB_OboijzbaY/R33hz2mzIrq4cm8us2OSDVpGu9gzmM0oVyuMCnyyLYQ),,,Active,Unnamed record
CARROTANQUES ETHANOL PLUS,24 Hrs,,$10000.00,CARROTANQUES ETHANOL PLUS,,,$0.00,ORKA_LOGO_enhanced.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/ILqnowrtgrmnx9g2GMc0GQ/YaVO1dzNMTTXco_tx53eNSRL-OxKHWwuLY73wQ87Ojmk4q08FJGWbPsTaEj85EcZc8834rCcFz18i7fO28a8NvwVZnJb-edvOsLgGAFswtQESKyuVOAW6jYQf1Wo1p2duj7PO7m1Rdlb1QB9vVJ4zvR73V5xu3DMB_OboijzbaY/R33hz2mzIrq4cm8us2OSDVpGu9gzmM0oVyuMCnyyLYQ),,,Active,Unnamed record
CRISMON,24 Hrs,,$10000.00,CRISMON,,,$0.00,ORKA_LOGO_enhanced.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/ILqnowrtgrmnx9g2GMc0GQ/YaVO1dzNMTTXco_tx53eNSRL-OxKHWwuLY73wQ87Ojmk4q08FJGWbPsTaEj85EcZc8834rCcFz18i7fO28a8NvwVZnJb-edvOsLgGAFswtQESKyuVOAW6jYQf1Wo1p2duj7PO7m1Rdlb1QB9vVJ4zvR73V5xu3DMB_OboijzbaY/R33hz2mzIrq4cm8us2OSDVpGu9gzmM0oVyuMCnyyLYQ),,,Active,Unnamed record
DDP CARROTANQUES,24 Hrs,,$10000.00,DDP CARROTANQUES,,,$0.00,ORKA_LOGO_enhanced.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/ILqnowrtgrmnx9g2GMc0GQ/YaVO1dzNMTTXco_tx53eNSRL-OxKHWwuLY73wQ87Ojmk4q08FJGWbPsTaEj85EcZc8834rCcFz18i7fO28a8NvwVZnJb-edvOsLgGAFswtQESKyuVOAW6jYQf1Wo1p2duj7PO7m1Rdlb1QB9vVJ4zvR73V5xu3DMB_OboijzbaY/R33hz2mzIrq4cm8us2OSDVpGu9gzmM0oVyuMCnyyLYQ),,,Active,Unnamed record
