Name,CLIENTS,BALANCED CLIENTS,Picture,Total Revenue,Payment for clients total,Total Ajustes,VENDOR,Type,SUM Due Balanced,SUM Partial Balanced,SUM On time Balanced,SUM Pre Paid Balanced,Credit Limit (from Client list Link),Credit Avalible,SUM Final due balance,INTRA per Client,Balanced + Intra,Debt,Debt INTRA,Frozen Balanced Clients,Active clients,Cashflow,Payments in Transit
PRETORIAN,,$57791.16,,$57791.16,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$57791.16,$0.00,,$57791.16,Debt,Debt,$57791.16,,,$0.00
FMB ENERGY,,$75662.89,,$75662.89,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$75662.89,$0.00,,$75662.89,Debt,Debt,$75662.89,,,$0.00
RBC,,$38069.80,,$38069.80,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$38069.80,$0.00,,$38069.80,Debt,Debt,$38069.80,,,$0.00
INVENTORY ,,$17474.23,,$17474.23,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$17474.23,$0.00,,$17474.23,Debt,Debt,$17474.23,,,$0.00
HUMEC,,$7600.00,,$7600.00,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$7600.00,$0.00,,$7600.00,Debt,Debt,$7600.00,,,$0.00
N/A,,$0.00,,$0.00,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,$0.00,$0.00,,$0.00,To pay,To pay,$0.00,,,$0.00
KMINAA,,$0.00,,$0.00,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,$0.00,$0.00,,$0.00,To pay,To pay,$122083.18,,,$0.00
JCH,,$3420187.23,,$3420187.23,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$3420187.23,$0.00,,$3420187.23,Debt,Debt,$971850.11,,1/15/2025,$0.00
ZUÑIGA,,$171493.26,,$171493.26,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$171493.26,$0.00,,$171493.26,Debt,Debt,$171493.26,,,$0.00
MODERN - RAILCAR,,$10916897.97,Logos vendors (1).png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/eSWbCFR5ZVPZxCvhpFLg4g/wAXL8InXutNPYj3n51Ec8rOJ2JtbSSU93SVp3vZ29naPobyahNhOgpVsMYf8xIt_ZvV_cpDvHMzoJZJgo1Zo7-i2uYJ0AOoVnqE6uzwfVOUlH_IGCS1H28pnxwESxla1JFzvjb5dt-qiCB0Gh4W1nvaYkNjsuV1k1oIShF3_2i8/TF2BXMMYbxehRcy0dZI8q8tujLIN7FPBsoni09cg5MA),$10916897.97,$0.00,$0.00,MODERN - RAILCAR,Vendor,$0.00,$0.00,$0.00,$0.00,,-$10916897.97,$0.00,,$10916897.97,Debt,Debt,,,1/15/2025,$0.00
ZUNIGA,,$0.00,,$0.00,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,$0.00,$0.00,,$0.00,To pay,To pay,,,,$0.00
SOUTHEM TEX,,$0.00,,$0.00,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,$0.00,$0.00,,$0.00,To pay,To pay,,,,$0.00
SOUTH TEXAS,,$3437662.16,,$3437662.16,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$3437662.16,$0.00,,$3437662.16,Debt,Debt,,,1/15/2025,$0.00
MEXIARB,,$0.00,MEXIARB.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/jmPJ1lze6azNzOBJZxhihw/ANwaPI31Y3yHI6B8rMMXjJZLHC8-55kTczlOHug2a8l8x7mNBM8Fi69KWVEh3DQTnEAyVnrpwQ0EkFcW-9-GjKfjy6HxmNQBICi0sT0ffrkOXEp7VCBDxeoefO16xvxt2cz_6Cc-djV9asd4c_3B-uE6lkQUhPq0jNZX55Jht1U/-BLgLpB-TwwqgBQYGSodg6eKlOsIkHS_Jtipe0G8FTg),$0.00,$0.00,$0.00,MEXIARB,Vendor,$0.00,$0.00,$0.00,$0.00,,$0.00,$0.00,,$0.00,To pay,To pay,,,1/15/2025,$0.00
NEW MEXXON,,$0.00,,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00,,$0.00,$0.00,,$0.00,To pay,To pay,,,,$0.00
jch,,$0.00,,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00,,$0.00,$0.00,,$0.00,To pay,To pay,,,,$0.00
