Producto,Terminal,Carrier ,Truck,Trailer,Estatus,BOL,BBls net,Glls,Cliente, AR ,Venta total
ULSD,MOTUS,CAN2 LOGISTICS,2759,275,LOADING,16415,171.88,7219,Puente,$2.4200,"$17,469.98"
ULSD,TITAN,CAN2 LOGISTICS,2759,274,LOADING,244347,174.76,7340,Puente,$2.4300,"$17,836.20"
ULSD,TITAN,CAN2,2759,274,APPROVED,212732,171.43,7200,Puente,$2.5300,"$18,216.00"
ULSD,TITAN,BTO TRANSPORT,2,2513,APPROVED,242429,171.43,7200,Puente,$2.5300,"$18,216.00"
ULSD,TITAN,BTO TRANSPORT,4,5537,APPROVED,213613,171.43,7200,Puente,$2.5300,"$18,216.00"
ULSD,TITAN,BTO TRANSPORT,2,2513,APPROVED,244290,171.43,7200,Puente,$2.5100,"$18,072.00"
ULSD,TITAN,BTO TRANSPORT,4,5537,APPROVED,212733,171.43,7200,Puente,$2.5100,"$18,072.00"
ULSD,TITAN,CAN2 LOGISTICS,2759,274,APPROVED,243528,171.43,7200,Puente,$2.5300,"$18,216.00"
ULSD,TITAN,CAN2 LOGISTICS,2758,274,APPROVED,243495,171.43,7200,Puente,$2.5300,"$18,216.00"
ULSD,TITAN,CAN2 LOGISTICS,2759,274,APPROVED,242662,171.43,7200,Puente,$2.6000,"$18,720.00"
ULSD,TITAN,CAN2 LOGISTICS,2759,275,APPROVED,242480,171.43,7200,Puente,$2.6000,"$18,720.00"
ULSD,TITAN,CAN2 LOGISTICS,2759,274,APPROVED,242442,171.43,7200,Puente,$2.5700,"$18,504.00"
ULSD,TITAN,CAN2 LOGISTICS,2759,274,APPROVED,243422,171.43,7200,Puente,$2.5700,"$18,504.00"
ULSD,TITAN,CAN2 LOGISTICS,2759,274,APPROVED,245463,171.43,7200,Puente,$2.3500,"$16,920.00"
ULSD,TITAN,CAN2 LOGISTICS,2759,274,APPROVED,242483,171.43,7200,Puente,$2.3500,"$16,920.00"
ULSD,TITAN,CAN2 LOGISTICS,2759,275,APPROVED,244361,171.43,7200,Puente,$2.3500,"$16,920.00"
ULSD,TITAN,CAN2 LOGISTICS,2759,275,APPROVED,244460,171.43,7200,Puente,$2.2900,"$16,488.00"
ULSD,TITAN,BTO TRANSPORT,3,T7089,INTENTION,25070780,171.43,7200,Puente,$2.2800,"$16,416.00"
ULSD,TITAN,CAN2 LOGISTICS,2759,275,INTENTION,243537,171.43,7200,Puente,$2.2300,"$16,056.00"
ULSD,TITAN,CAN2 LOGISTICS,2759,275,INTENTION,244362,171.43,7200,Puente,$2.2300,"$16,056.00"
ULSD,TITAN,CAN2 LOGISTICS,2759,275,INTENTION,214621,171.43,7200,Puente,$2.2900,"$16,488.00"
ULSD,TITAN,CAN2 LOGISTICS,2759,275,INTENTION,214622,171.43,7200,Puente,$2.2900,"$16,488.00"
ULSD,TITAN,CAN2 LOGISTICS,2759,275,INTENTION,242487,171.43,7200,Puente,$2.2900,"$16,488.00"
ULSD,TITAN,CAN2 LOGISTICS,2759,275,INTENTION,245410,171.43,7200,Puente,$2.2700,"$16,344.00"
ULSD,TITAN,CAN2 LOGISTICS,2759,275,INTENTION,244391,171.43,7200,Puente,$2.2200,"$15,984.00"
ULSD,TITAN,CAN2 LOGISTICS,2759,275,INTENTION,242626,171.43,7200,Puente,$2.1900,"$15,768.00"
ULSD,TITAN,CAN2 LOGISTICS,2759,274,INTENTION,244876,171.43,7200,Puente,$2.2400,"$16,128.00"
ULSD,SUNOCO,RHINO,2759,274,INTENTION,64650,170.14,7146,Puente,$2.1808,"$15,584.00"
ULSD,SUNOCO,RHINO,2759,274,INTENTION,64640,170.07,7143,Puente,$2.1808,"$15,577.45"
ULSD,SUNOCO,RHINO,2759,274,INTENTION,64902,170.38,7156,Puente,$2.2900,"$16,387.24"
ULSD,SUNOCO,RHINO,2759,274,INTENTION,64926,170.38,7156,Puente,$2.2900,"$16,387.24"
ULSD,SUNOCO,RHINO,2759,274,DONE,65014,171.86,7218,Puente,$2.3500,"$16,962.30"
ULSD,SUNOCO,RHINO,2759,274,DONE,65082,164.29,6900,Puente,$2.3500,"$16,215.00"
ULSD,TITAN,CAN2 LOGISTICS,2759,274,DONE,243522,171.43,7200,Puente,$2.3400,"$16,848.00"
ULSD,TITAN,CAN2 LOGISTICS,2759,274,DONE,5605003,171.43,7200,Puente,$2.3200,"$16,704.00"
